Date,Day of the Week,Amount,Description,Category ,Method of Payment,
"Jan. 19, 2023",Thursday,6.89,I bought snacks (Candy),Food,Credit,(I used my SAM card)
"Jan. 20, 2023",Friday,0.00,I did not buy anything.,(Nothing),,I did not spend any money
"Jan 21, 2023",Saturday,0.00,I did not spend any money,(Nothing),,I did not spend any money
"Jan 22, 2023",Sunday,0.00,I did not spend any money,(Nothing),,I did not spend any money
"Jan. 23, 2023",Monday,18.28,I bought snacks (candy),Food,Credit,(I used my SAM card)
Jan 23. 2023,Monday,6.23,I bought some more snacks,Food,Credit,(I used my SAM card)
"Jan. 23, 2023",Tuesday,5.25,I bought a sandwich,Food,Credit,(I used my SAM card)
"Jan. 24, 2023",Tuesday,19.25,I bought snacks (candy),Food,Credit,(I used my SAM card)
"Jan. 25, 2023",Wednesday,32.26,I bought snacks,Food,Credit,(I used my SAM card)
"Jan. 25, 2023",Wednesday,6.23,I bought snacks ,Food,Credit,(I used my SAM card)
"Jan. 26, 2023",Thursday,26.88,I bought snacks,Food,Credit,(I used my SAM card)
"Jan. 27, 2023",Friday,67.09,a,Food,Credit,(I used my SAM card)
"Jan. 28, 2023",Saturday,0,I did not spend any money,(Nothing),,I did not spend any money
"Jan. 29, 2023",Sunday,0,I did not spend any money,(Nothing),,I did not spend any money
"Jan. 30, 2023",Monday,116.67,I bought food to spend the money on my SAM card,Food,Credit,(I used my SAM card)
"Jan. 30, 2023",Monday,30.32,I bought food to spend the money on my SAM card,Food,Credit,(I used my SAM card)
"Jan. 30, 2023",Monday,1,I had to pay extra for my food.,Food,Cash,
"Jan. 30, 2023",Monday,0.77,I recieved change,Financial goals and Savings,Cash,(Recieved Change)
"Jan. 31, 2023",Tuesday,0,I did not spend any money,(Nothing),,(I did not spend any money)
"Feb. 1, 2023",Wednesday,0,I did not spend any money,(Nothing),,(I did not spend any money)
Feb 2. 2023,Thursday,0,I did not spend any money,(Nothing),,(I did not spend any money)
"Feb 3, 2023",Friday,0,I did not spend any money,(Nothing),,(I did not spend any money)
"Feb. 4, 2023",Saturday,0,I did not spend anything,(Nothing),,(I did not spend any money)
"Feb. 5, 2023",Sunday,0,I did not spend any money,(Nothing),,(I did not spend any money)
